title,date,rating,review
" I heard my soul leaving my body by boredom
",2021-04-11 00:00:00,1,"Small Review: NO! DON'T DO THIS TO YOURSELF. WE HAVE ONE LIFE.Longer review: Seriously the movie could do what I Just did... Skip most of it so we don't summon the evil spirit to find filmakers and make them pay for what they did to us.I strongly believe that whoever put a good grade to this film, was either paid by someone, or didn't actually see it and probably slept, saw a dream, like our protagonist does in many parts of the film and thought that their dream was the movie."
" Underwhelming, to be honest.
",2021-04-07 00:00:00,5,"My Rating : 5/10Take whatever meaning or so-called 'message' from 'The Wailing' - it leaves you with many to think about. For me, I can't seem to enjoy it as much - just felt a bit dull and boring - I wish the movie was more hypnotising and engaging after hearing so much about it everywhere online. It's okay - it's not a 'masterpiece' in my books - yes the last 20 or so minutes are really good to watch as a movie-goer but it doesn't really do much after that initial viewing.So for me it's 5/10 for 'The Wailing' certainly not an 8 which I was hoping it would be after the hype surrounding it and the glowing reviews it's been showered with."
" Waste of time
",2021-03-27 00:00:00,1,One of the worst movie which I've ever seen...please don't watch & waste your valuable 3 hrs in your life....😡
" A father's love for his daughter is something powerful, making us take many extra miles
",2021-03-22 00:00:00,9,"What worked:
So what makes this movie watchable repeatedly is the amazing screenplay and the narrative. It's not a jump scare horror but an unsettling story that keeps you hooked into the movie until finally the movie ends and you keep asking yourself what was all that you saw. It's one of those Korean movies with a very fine storytelling added with some fine performances by the lead. It's humorous at times, sentimental sometimes and thrilling on the rest of the movie. Also, the movie leaves you with some interpretations and relies on the rest on our interpretations but mainly it's a illustrative with some blanks in between. The fact that it can be watched multiple times is also because of the fine cinematography, editing and score. So overall the director deserves an appreciation for bringing together some of the fine members in the movie teamWhat did not work:
The run time is a bit longer making it a lengthy experience. Of course I think some of the scenes could have been cut down to shorten the movie for example the zombie scenes.
Final verdict: highly recommended"
" Decent film
",2021-03-19 00:00:00,8,"I liked this film, quite unique to an extent and has great cinematography/picture design. There is a lot of suspense and build up in this film but plot felt a bit random and sometimes off-topic. Not a fan of the two main police officers they were quite cringe to watch (screaming and rolling on the floor like kids lol) and didn't act like police officers. Ending was quite depressing"
" Excruciatingly long for what it is
",2021-03-17 00:00:00,3,"Why is this 2 and a half hours long? It's basically a generic supernatural Horror story with idiotic characters and no good surprises what so ever. Where are the scares? The Dog was like the scariest thing in the entire film. It's not funny (Why is the first hour a dumb Comedy and then suddenly serious?), the twists and turns come out of complete nowhere, nothing makes any sense, and the ending was like the most obvious crap I had ever seen.Why does it take so long to reach a similar conclusion I've seen countless other Horror films do it in like 90 minutes? What on Demon's Souls did this offer that was so unique to the rest? Why do they not get a free pass and this one does? Doesn't matter how well shot or acted it is, this was a major disappointment for me and it's a shame because I heard so many fantastic things about it, but sadly all it did was make me hate The Wailing more.3/10"
" I love Korean horror... but not this
",2021-03-12 00:00:00,6,2 hours 36 minutes of my life I'll never get back.
" Awesome movie.
",2021-03-03 00:00:00,7,"It's a long movie but its a excellent movie with twist and turns, suspence till the last . Go for it without any hesitation. Ignore negative ratings."
" One of the most unsettling horror films I've ever seen. A gem!
",2021-02-17 00:00:00,10,"Recently bought the DVD of The Wailing and settled down to watch it last night. By the end of the film I was emotionally exhausted, and sat in silence for a few mins, stunned.I've seen thousands of horror films over the last 40 years, and this gem up there with best of them.It starts off a bit chaotic, with some goofy humour, but then slowly pulls you into a much darker tale, twisting the knife a little more with every scene.A masterclass in unsettling, unnerving, terrifying, horror, brilliantly acted and directed, with a layered script that will definitely demand revisits over time.But not for a bit. I need to build my courage up again."
" One of the most underrated horror gems🙌
",2021-02-07 00:00:00,10,"This film.. waah. Where do i begin. Everything you look for in a horror, thriller, suspense, mystery film is in this very movie. This film will have you on the edge of your seat the entire way through. Although abit slow at the beginning, the rest of the movie is fast paced and gives you another level of anxiety. Definitely not for the faint hearted skittish audience. Hands down goes in my top 4 horror films of all time!🖤🔥"
" Koreans have the best actors.
",2021-02-06 00:00:00,6,"Very long, slow paced with great acting and a bit complex and confusing plot, but wasn't bad."
" I'm used to trust in the reviews but ..
",2021-02-02 00:00:00,5,"...what a dissapointment.Poor characters.Repetitive and overlong scenes.Laughable ""horror"" moments.Poor writing.The movie accomplishes a little bit in the genre, but not much more. I regret giving my time to this film."
" Excellent Example of Korean Horror
",2021-01-19 00:00:00,8,"Korean film makers know how to make a good horror movie and this is a fine example of that. Taking time to build good characters, disturbing themes, continued story twists, allegories, symbolism and atmosphere. This one has it all. A sign of a good horror movie is when you feel attached, even emotional for the characters. You have to feel for them to be afraid; something this film does well.My only real complaint; maybe a touch too long and maybe a little to vague for some viewers."
" One time watchable
",2021-01-04 00:00:00,6,"The movie has not a good story, only one time watchable."
" Niche Masterpiece...
",2020-12-31 00:00:00,6,"But a total miss for me.The movie was pretty good, albeit a bit slow.The acting was excellent, and the cinematography, etc were all good. (Probably 8/10) Seriously, the performances were just fantastic, and I couldn't recommend it enough from that perspective.What loses me most is exorcism type stories. I don't find them even a little scary at all. This is because of real personal experience in dealing with these types of kids. Not possessions, but kids people can't understand and/or deal with. I have dealt with dozens of kids, many are far worse in real life. None of whom are actually demon possessed. That 'scary' scene just makes me laugh.The next big loss is that the story actually loses a lot of ambiguity towards the third act, and the story forces you to see only one limited viewpoint from that moment to the end. The first act really has you wondering about what is happening. but it drains away through the whole movie."
" Overrated
",2020-12-31 00:00:00,7,"I think this movie was worth watching. Can't say it's bad. But it's unnecessarily too long, you'll see adult men acting like little girls in the face of fear. there are a lot of unanswered questions in the end, and the whole thing basically doesn't make much sense. To be honest, I thinks most people are giving this movie such high ratings just because it's Korean."
" Awful
",2020-12-27 00:00:00,4,Poor plot line and most importantly not scary. Complete waste of time
" A great screenplay
",2020-12-24 00:00:00,7,The twists and turns in this story seem infinite. One of the examples of a movie that takes its viewer on a ride. The tempo is great with many ups and downs while the allegory behind the story is almost as captivating as its execution.Amongst the minor flaws you may encounter is the acting style which is very different than what actors are doing in Hollywood and at moments feels a bit over the top.Regardless I think most people will enjoy the story and will be intrigued by the way its unwrapping.
" The Scariest Movie I Have Ever Seen
",2020-12-08 00:00:00,10,"I don't even want to say a word. If you're looking to be terrified, you'll find it here. Good luck."
" One of the worst movie
",2020-11-30 00:00:00,1,Wasted 2 hrs :29 mins of my life.so I m warning u save those precious time and use it for something better.
" Must watch
",2020-11-19 00:00:00,10,"Excellently written out of the box concept.
I bet you will need to view the ending explain video on YouTube to understand the entire plot.Brilliantly executed. Go for it.
Acting 4/5
Casting 4/5
Story 5/5
Movie length 4/5"
" The Wailling
",2020-11-02 00:00:00,7,The Wailling was a good Korean horror film that has some great use of atmosfere and tension and some solid scares but what is even more important it teaches us some important staff about religion and faith but also with regret and revenge.Normally Japan was a Asian country that used to make a great horrors but after this one Korea showed that they arent a pushover and that they can make a very good horror film to and not just crime thrillers or crime dramas.Story was effective and chilling in some parts.Characters were interesting and i was able to find myself caring for them.Wailling was a good Korean horror
" Good Japanese Horror
",2020-10-30 00:00:00,7,"The Wailing is a good Japanese horror film. I thought begin that this was going to be a zombie film. Very grotesque scenes, yet parts of the movie was very hilarious. It is hard to know for much of the movie which way this story will lead to. Just watch and make your own opinion."
