title,date,rating,review
" Zach is hysterical!
",2021-03-24 00:00:00,8,"Zach commits 100% to his roles, and gives himself wholly to this semi-true story, exaggerated for comic effect. I love a good slapstick, juvenile comedy especially when it's in the nuanced hands of actors like Galifinakis and Wiig. Hess has made me laugh hard before, and after a few turkeys, I wondered if he could repeat the trick. All I can say is I had a great time watching this one, and I laughed out loud a lot. Good comedies are a rare breed, and Masterminds is among my faves."
" Solidly entertaining
",2021-03-07 00:00:00,7,"I like this movie's story, pacing, casting, and dialogue. It's more drama than comedy but has some good laughs at times. Based on a true story and I can see why this could happen-infatuation is powerful."
" Good movie
",2021-02-20 00:00:00,9,"This movie is really funny. I like the way the jokes were said. I won't spoiler, but I enjoyed it."
" Nice and funny.
",2021-02-13 00:00:00,6,"Directed by Jared Hess, and stars Zach Galifianakis as Ghantt, Kristen Wiig as Campbell, Owen Wilson as Chambers, and Jason Sudeikis as McKinney.Based on Loomis Fargo Bank Robbery was a robbery of $17.3 million in cash from the Charlotte, North Carolina. It's hard to believe that this movie is based on a true story because of it's kiddish serving many times.But overall a enjoyable film, definitely does have a lot of misses, but can still be enjoyed in bits and pieces.Available on Amazon Prime. Wish more Heist films were made in India too."
" Everything goes wrong in this bank robbery and still they get away with it
",2021-02-10 00:00:00,8,"The laughs get stuck in your throat as you at the same time get the appalling picture of modern America, where no human feelings except very selfish ones are of any matter - these people have no scruples, a human life is worth nothing, as you get the impression that a professional murderer could be hired to kill anyone and even be certain to get away with it, and that nothing is sacred or worth any respect. The comic highlights are many, though, especially as when the hired murderer becomes best friends with his intended victim and crying for it. It is remarkable, though, that this is a true story, and that they actually got away with two million dollars that no one has found any trace of."
" Ok
",2021-01-25 00:00:00,5,Couldn't believe it was based on a True Story. Had some good moments but nothing special.
" Biographical comedy...!!
",2020-12-08 00:00:00,7,"A team plans to rob a bank..
All are acted soo well especially hangover alan..
Worth to watch.."
" Defenitly not bad
",2020-08-27 00:00:00,7,I had my doubts because of the ratings but in the end of am Happy that i watched the movie . Just a fun and easy movie . Would sure watch it again .
" Heavily underrated
",2020-08-25 00:00:00,8,"I'm surprised that is was rated as low as it is. It's a left field comedy, featuring absurd characters-telling a story which is based upon a real life event.The fact that much of the cast are SNL alums, adds to the ease in how they interact with one another. You can tell this would have been a fun set to work on.If you're a fan of any of these comedic actors, you should enjoy this movie. They all embrace the quirkinesses of their characters, with hilarious performances.If you're looking for an in-depth analysis about the actual heist, you should probably head to Wikipedia"
" We Can Still Make Fun Of These People, Can't We?
",2020-08-14 00:00:00,3,"This is one of those comedies in which we are invited to laugh at rednecks because they are stupid.In this case, they steal $17 million and Zach Gallifinakis is set up to take the entire blame. It's one of those movies which I saw because of decent talent, particularly Kristen Wiig, and never quite worked up the will to leave early. I suspect it was a project that some talented people were drawn into because some one else was involve"
" Jason & Zach
",2020-05-29 00:00:00,1,The only positive thing in this movie is Jason Sudeikies .. Zach is great actor but he repeats his self !
" Lots of Laughs
",2020-05-22 00:00:00,7,If you want laughs watch this movie-I have no idea why the overall rating is so low-Kathleen Mackinnon alone is hilarious in a small role. Enjoy.
" Jared Hess is an American Gem
",2020-05-22 00:00:00,8,"I love Hess. I think Nacho Libre is absolutely fantastic and if you enjoyed that I'm sure you'll like this too. The script in this film is hilarious, some of the lines just kill me. That being said, his humor is not for everyone so if you don't like him you won't like this."
